"#Delimiter:,#DecimalSymbol:."
"RecipeName:","Production"
"setSize:","2"
"id:","1"
"ElementName","Tag","set1","set2"
"Angle1","Application/RecipeVars/Angles[1]",15,10
"Angle2","Application/RecipeVars/Angles[2]",-15,-10
"Angle3","Application/RecipeVars/Angles[3]",10,20
"Angle4","Application/RecipeVars/Angles[4]",-10,-20
"Angle5","Application/RecipeVars/Angles[5]",0,0
"Angle6","Application/RecipeVars/Angles[6]",0,0
"Angle7","Application/RecipeVars/Angles[7]",0,0
"Angle8","Application/RecipeVars/Angles[8]",0,0
"Angle9","Application/RecipeVars/Angles[9]",0,0
"Angle10","Application/RecipeVars/Angles[10]",0,0
"Angle11","Application/RecipeVars/Angles[11]",0,0
"Angle12","Application/RecipeVars/Angles[12]",0,0
"Angle13","Application/RecipeVars/Angles[13]",0,0
"Angle14","Application/RecipeVars/Angles[14]",0,0
"Angle15","Application/RecipeVars/Angles[15]",0,0
"Angle16","Application/RecipeVars/Angles[16]",0,0
"Angle17","Application/RecipeVars/Angles[17]",0,0
"Angle18","Application/RecipeVars/Angles[18]",0,0
"Angle19","Application/RecipeVars/Angles[19]",0,0
"Angle20","Application/RecipeVars/Angles[20]",0,0
"Angle21","Application/RecipeVars/Angles[21]",0,0
"Angle22","Application/RecipeVars/Angles[22]",0,0
"Angle23","Application/RecipeVars/Angles[23]",0,0
"Angle24","Application/RecipeVars/Angles[24]",0,0
"Angle25","Application/RecipeVars/Angles[25]",0,0
"Angle26","Application/RecipeVars/Angles[26]",0,0
"Angle27","Application/RecipeVars/Angles[27]",0,0
"Angle28","Application/RecipeVars/Angles[28]",0,0
"Angle29","Application/RecipeVars/Angles[29]",0,0
"Angle30","Application/RecipeVars/Angles[30]",0,0
"DeltaX1","Application/RecipeVars/Delta_X[1]",10.300000,20.000000
"DeltaX2","Application/RecipeVars/Delta_X[2]",-10.300000,-20.000000
"DeltaX3","Application/RecipeVars/Delta_X[3]",10.500000,20.000000
"DeltaX4","Application/RecipeVars/Delta_X[4]",-10.500000,-20.000000
"DeltaX5","Application/RecipeVars/Delta_X[5]",0.000000,0.000000
"DeltaX6","Application/RecipeVars/Delta_X[6]",0.000000,0.000000
"DeltaX7","Application/RecipeVars/Delta_X[7]",0.000000,0.000000
"DeltaX8","Application/RecipeVars/Delta_X[8]",0.000000,0.000000
"DeltaX9","Application/RecipeVars/Delta_X[9]",0.000000,0.000000
"DeltaX10","Application/RecipeVars/Delta_X[10]",0.000000,0.000000
"DeltaX11","Application/RecipeVars/Delta_X[11]",0.000000,0.000000
"DeltaX12","Application/RecipeVars/Delta_X[12]",0.000000,0.000000
"DeltaX13","Application/RecipeVars/Delta_X[13]",0.000000,0.000000
"DeltaX14","Application/RecipeVars/Delta_X[14]",0.000000,0.000000
"DeltaX15","Application/RecipeVars/Delta_X[15]",0.000000,0.000000
"DeltaX16","Application/RecipeVars/Delta_X[16]",0.000000,0.000000
"DeltaX17","Application/RecipeVars/Delta_X[17]",0.000000,0.000000
"DeltaX18","Application/RecipeVars/Delta_X[18]",0.000000,0.000000
"DeltaX19","Application/RecipeVars/Delta_X[19]",0.000000,0.000000
"DeltaX20","Application/RecipeVars/Delta_X[20]",0.000000,0.000000
"DeltaX21","Application/RecipeVars/Delta_X[21]",0.000000,0.000000
"DeltaX22","Application/RecipeVars/Delta_X[22]",0.000000,0.000000
"DeltaX23","Application/RecipeVars/Delta_X[23]",0.000000,0.000000
"DeltaX24","Application/RecipeVars/Delta_X[24]",0.000000,0.000000
"DeltaX25","Application/RecipeVars/Delta_X[25]",0.000000,0.000000
"DeltaX26","Application/RecipeVars/Delta_X[26]",0.000000,0.000000
"DeltaX27","Application/RecipeVars/Delta_X[27]",0.000000,0.000000
"DeltaX28","Application/RecipeVars/Delta_X[28]",0.000000,0.000000
"DeltaX29","Application/RecipeVars/Delta_X[29]",0.000000,0.000000
"DeltaX30","Application/RecipeVars/Delta_X[30]",0.000000,0.000000
"Z_Start1","Application/RecipeVars/Z_Start[1]",1.000000,2.000000
"Z_Start2","Application/RecipeVars/Z_Start[2]",1.000000,2.000000
"Z_Start3","Application/RecipeVars/Z_Start[3]",1.500000,2.000000
"Z_Start4","Application/RecipeVars/Z_Start[4]",1.500000,2.000000
"Z_Start5","Application/RecipeVars/Z_Start[5]",0.000000,0.000000
"Z_Start6","Application/RecipeVars/Z_Start[6]",0.000000,0.000000
"Z_Start7","Application/RecipeVars/Z_Start[7]",0.000000,0.000000
"Z_Start8","Application/RecipeVars/Z_Start[8]",0.000000,0.000000
"Z_Start9","Application/RecipeVars/Z_Start[9]",0.000000,0.000000
"Z_Start10","Application/RecipeVars/Z_Start[10]",0.000000,0.000000
"Z_Start11","Application/RecipeVars/Z_Start[11]",0.000000,0.000000
"Z_Start12","Application/RecipeVars/Z_Start[12]",0.000000,0.000000
"Z_Start13","Application/RecipeVars/Z_Start[13]",0.000000,0.000000
"Z_Start14","Application/RecipeVars/Z_Start[14]",0.000000,0.000000
"Z_Start15","Application/RecipeVars/Z_Start[15]",0.000000,0.000000
"Z_Start16","Application/RecipeVars/Z_Start[16]",0.000000,0.000000
"Z_Start17","Application/RecipeVars/Z_Start[17]",0.000000,0.000000
"Z_Start18","Application/RecipeVars/Z_Start[18]",0.000000,0.000000
"Z_Start19","Application/RecipeVars/Z_Start[19]",0.000000,0.000000
"Z_Start20","Application/RecipeVars/Z_Start[20]",0.000000,0.000000
"Z_Start21","Application/RecipeVars/Z_Start[21]",0.000000,0.000000
"Z_Start22","Application/RecipeVars/Z_Start[22]",0.000000,0.000000
"Z_Start23","Application/RecipeVars/Z_Start[23]",0.000000,0.000000
"Z_Start24","Application/RecipeVars/Z_Start[24]",0.000000,0.000000
"Z_Start25","Application/RecipeVars/Z_Start[25]",0.000000,0.000000
"Z_Start26","Application/RecipeVars/Z_Start[26]",0.000000,0.000000
"Z_Start27","Application/RecipeVars/Z_Start[27]",0.000000,0.000000
"Z_Start28","Application/RecipeVars/Z_Start[28]",0.000000,0.000000
"Z_Start29","Application/RecipeVars/Z_Start[29]",0.000000,0.000000
"Z_Start30","Application/RecipeVars/Z_Start[30]",0.000000,0.000000
"Z_End1","Application/RecipeVars/Z_End[1]",2.000000,3.000000
"Z_End2","Application/RecipeVars/Z_End[2]",2.000000,3.000000
"Z_End3","Application/RecipeVars/Z_End[3]",2.000000,3.000000
"Z_End4","Application/RecipeVars/Z_End[4]",2.000000,3.000000
"Z_End5","Application/RecipeVars/Z_End[5]",0.000000,0.000000
"Z_End6","Application/RecipeVars/Z_End[6]",0.000000,0.000000
"Z_End7","Application/RecipeVars/Z_End[7]",0.000000,0.000000
"Z_End8","Application/RecipeVars/Z_End[8]",0.000000,0.000000
"Z_End9","Application/RecipeVars/Z_End[9]",0.000000,0.000000
"Z_End10","Application/RecipeVars/Z_End[10]",0.000000,0.000000
"Z_End11","Application/RecipeVars/Z_End[11]",0.000000,0.000000
"Z_End12","Application/RecipeVars/Z_End[12]",0.000000,0.000000
"Z_End13","Application/RecipeVars/Z_End[13]",0.000000,0.000000
"Z_End14","Application/RecipeVars/Z_End[14]",0.000000,0.000000
"Z_End15","Application/RecipeVars/Z_End[15]",0.000000,0.000000
"Z_End16","Application/RecipeVars/Z_End[16]",0.000000,0.000000
"Z_End17","Application/RecipeVars/Z_End[17]",0.000000,0.000000
"Z_End18","Application/RecipeVars/Z_End[18]",0.000000,0.000000
"Z_End19","Application/RecipeVars/Z_End[19]",0.000000,0.000000
"Z_End20","Application/RecipeVars/Z_End[20]",0.000000,0.000000
"Z_End21","Application/RecipeVars/Z_End[21]",0.000000,0.000000
"Z_End22","Application/RecipeVars/Z_End[22]",0.000000,0.000000
"Z_End23","Application/RecipeVars/Z_End[23]",0.000000,0.000000
"Z_End24","Application/RecipeVars/Z_End[24]",0.000000,0.000000
"Z_End25","Application/RecipeVars/Z_End[25]",0.000000,0.000000
"Z_End26","Application/RecipeVars/Z_End[26]",0.000000,0.000000
"Z_End27","Application/RecipeVars/Z_End[27]",0.000000,0.000000
"Z_End28","Application/RecipeVars/Z_End[28]",0.000000,0.000000
"Z_End29","Application/RecipeVars/Z_End[29]",0.000000,0.000000
"Z_End30","Application/RecipeVars/Z_End[30]",0.000000,0.000000
"RPM1","Application/RecipeVars/RPM[1]",10.000000,30.000000
"RPM2","Application/RecipeVars/RPM[2]",50.000000,30.000000
"RPM3","Application/RecipeVars/RPM[3]",50.000000,30.000000
"RPM4","Application/RecipeVars/RPM[4]",50.000000,30.000000
"RPM5","Application/RecipeVars/RPM[5]",0.000000,0.000000
"RPM6","Application/RecipeVars/RPM[6]",0.000000,0.000000
"RPM7","Application/RecipeVars/RPM[7]",0.000000,0.000000
"RPM8","Application/RecipeVars/RPM[8]",0.000000,0.000000
"RPM9","Application/RecipeVars/RPM[9]",0.000000,0.000000
"RPM10","Application/RecipeVars/RPM[10]",0.000000,0.000000
"RPM11","Application/RecipeVars/RPM[11]",0.000000,0.000000
"RPM12","Application/RecipeVars/RPM[12]",0.000000,0.000000
"RPM13","Application/RecipeVars/RPM[13]",0.000000,0.000000
"RPM14","Application/RecipeVars/RPM[14]",0.000000,0.000000
"RPM15","Application/RecipeVars/RPM[15]",0.000000,0.000000
"RPM16","Application/RecipeVars/RPM[16]",0.000000,0.000000
"RPM17","Application/RecipeVars/RPM[17]",0.000000,0.000000
"RPM18","Application/RecipeVars/RPM[18]",0.000000,0.000000
"RPM19","Application/RecipeVars/RPM[19]",0.000000,0.000000
"RPM20","Application/RecipeVars/RPM[20]",0.000000,0.000000
"RPM21","Application/RecipeVars/RPM[21]",0.000000,0.000000
"RPM22","Application/RecipeVars/RPM[22]",0.000000,0.000000
"RPM23","Application/RecipeVars/RPM[23]",0.000000,0.000000
"RPM24","Application/RecipeVars/RPM[24]",0.000000,0.000000
"RPM25","Application/RecipeVars/RPM[25]",0.000000,0.000000
"RPM26","Application/RecipeVars/RPM[26]",0.000000,0.000000
"RPM27","Application/RecipeVars/RPM[27]",0.000000,0.000000
"RPM28","Application/RecipeVars/RPM[28]",0.000000,0.000000
"RPM29","Application/RecipeVars/RPM[29]",0.000000,0.000000
"RPM30","Application/RecipeVars/RPM[30]",0.000000,0.000000
"Idle1","Application/RecipeVars/Idle[1]",1,0
"Idle2","Application/RecipeVars/Idle[2]",0,2
"Idle3","Application/RecipeVars/Idle[3]",1,2
"Idle4","Application/RecipeVars/Idle[4]",0,0
"Idle5","Application/RecipeVars/Idle[5]",0,0
"Idle6","Application/RecipeVars/Idle[6]",0,0
"Idle7","Application/RecipeVars/Idle[7]",0,0
"Idle8","Application/RecipeVars/Idle[8]",0,0
"Idle9","Application/RecipeVars/Idle[9]",0,0
"Idle10","Application/RecipeVars/Idle[10]",0,0
"Idle11","Application/RecipeVars/Idle[11]",0,0
"Idle12","Application/RecipeVars/Idle[12]",0,0
"Idle13","Application/RecipeVars/Idle[13]",0,0
"Idle14","Application/RecipeVars/Idle[14]",0,0
"Idle15","Application/RecipeVars/Idle[15]",0,0
"Idle16","Application/RecipeVars/Idle[16]",0,0
"Idle17","Application/RecipeVars/Idle[17]",0,0
"Idle18","Application/RecipeVars/Idle[18]",0,0
"Idle19","Application/RecipeVars/Idle[19]",0,0
"Idle20","Application/RecipeVars/Idle[20]",0,0
"Idle21","Application/RecipeVars/Idle[21]",0,0
"Idle22","Application/RecipeVars/Idle[22]",0,0
"Idle23","Application/RecipeVars/Idle[23]",0,0
"Idle24","Application/RecipeVars/Idle[24]",0,0
"Idle25","Application/RecipeVars/Idle[25]",0,0
"Idle26","Application/RecipeVars/Idle[26]",0,0
"Idle27","Application/RecipeVars/Idle[27]",0,0
"Idle28","Application/RecipeVars/Idle[28]",0,0
"Idle29","Application/RecipeVars/Idle[29]",0,0
"Idle30","Application/RecipeVars/Idle[30]",0,0

